fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
48057,US,TX,Calhoun County,county,,iso1:us#iso2:us-tx#fips:48057,,21290,0.1224,other,21.47218681,,0.775091902,0.698286903,0.202520253,,0.727272727,2,2,2,4,0,0,1,2222,25,,,,25,14,1,0.4,6,4,1,0.2,0,,8171,7090,5/31/21,https://covidactnow.org/us/texas-tx/county/calhoun_county,0.383795209,0.333020197,0,14075
48059,US,TX,Callahan County,county,,iso1:us#iso2:us-tx#fips:48059,,13943,0.2857,other,5.122898331,,1.107328302,1.177775163,,,,3,3,1,4,2,4,4,1203,40,,,,,,1,,,,0,,0,,3824,3342,5/31/21,https://covidactnow.org/us/texas-tx/county/callahan_county,0.274259485,0.239690167,0,6713
48061,US,TX,Cameron County,county,,iso1:us#iso2:us-tx#fips:48061,,423163,0.0497,other,7.021947976,,0.884090912,0.293734855,0.211782827,,0.718112245,1,1,1,4,0,0,1,41221,1658,,,,1418,710,48,0.58,112,80,12,0.68,0,,235569,188548,5/31/21,https://covidactnow.org/us/texas-tx/county/cameron_county,0.556686194,0.445568256,0,411061
48063,US,TX,Camp County,county,,iso1:us#iso2:us-tx#fips:48063,,13094,0.037,other,1.091012241,,0.979448861,1.173971128,0,,,1,1,1,4,1,0,4,1260,44,,,,25,14,1,0.32,4,,0,,1,,3964,3212,5/31/21,https://covidactnow.org/us/texas-tx/county/camp_county,0.302734077,0.245303192,0,6950
48065,US,TX,Carson County,county,,iso1:us#iso2:us-tx#fips:48065,,5926,0.1111,other,21.69615737,,1.310172337,1.126666599,,,,2,2,2,4,2,4,4,540,14,,,,,,0,,,,0,,0,,1543,1335,5/31/21,https://covidactnow.org/us/texas-tx/county/carson_county,0.260377995,0.225278434,0,2808
48067,US,TX,Cass County,county,,iso1:us#iso2:us-tx#fips:48067,,30026,0.0577,other,11.89445338,,1.16476819,0.889836862,inf,,,2,1,2,4,2,4,4,1963,83,,,,43,,3,,0,,2,,2,,7370,6171,5/31/21,https://covidactnow.org/us/texas-tx/county/cass_county,0.24545394,0.205521881,0,12510
48069,US,TX,Castro County,county,,iso1:us#iso2:us-tx#fips:48069,,7530,0.0476,other,26.56042497,,1.385908788,0.996187808,,,,3,1,3,4,2,4,4,1012,32,,,,17,0,1,0.16,0,,0,,0,,2317,1870,5/31/21,https://covidactnow.org/us/texas-tx/county/castro_county,0.307702523,0.248339973,0,4051
48071,US,TX,Chambers County,county,,iso1:us#iso2:us-tx#fips:48071,,43837,0.0863,other,13.36118543,,0.722447594,0.670870339,inf,,,2,1,2,4,0,4,4,5100,49,,,,39,7,1,0.09,0,,1,,0,,14438,9883,5/31/21,https://covidactnow.org/us/texas-tx/county/chambers_county,0.32935648,0.225448822,0,23696
48073,US,TX,Cherokee County,county,,iso1:us#iso2:us-tx#fips:48073,,52646,0.0052,other,5.698438628,,0.794719962,0.780004577,1.0230179,,,1,0,1,4,0,3,4,4259,142,,,,388,32,4,0.76,2,5,1,,0,,13492,11260,5/31/21,https://covidactnow.org/us/texas-tx/county/cherokee_county,0.25627778,0.213881396,0,23234
48075,US,TX,Childress County,county,,iso1:us#iso2:us-tx#fips:48075,,7306,0.04,other,6.843690118,,1.213624542,0.956104248,,,,2,1,1,4,2,4,4,1378,17,,,,39,9,0,0.19,0,,0,,0,,2816,2557,5/31/21,https://covidactnow.org/us/texas-tx/county/childress_county,0.385436627,0.349986313,0,4821
